Original,Normalised
Grant,ADJqua_grant
fu,VERcjg_estre
la,DETdef_le
ioie,NOMcom_joie|joöe
ce,PROdem_ce
dit,VERcjg_dire
li,DETdef_le
contes,NOMcom_conte
que,PROrel_que
l',PROper_il
en,PROadv_en
fist,VERcjg_faire|feire|fere
de,PRE_de
Lanceloht,NOMpro_Lanceloht
a,PRE_a
Acaron,NOMpro_Acaron
le,DETdef_le
Tenebrox,NOMcom_Tenebrox
la,DETdef_lö
ou,PROrel_o|oö
il,PROper_il
conquist,VERcjg_conquerre
Grans,ADJqua_grant
l',DETdef_le
ouneurs,NOMcom_ouneurs
et,CONcoo_et
joie,NOMcom_joie|joöe
ke,PROrel_que
on,PROind_on
Lancelot,NOMpro_Lancelot
Escalon,NOMpro_Escalon
Tenebreus,NOMcom_Tenebreus
Or,ADVgen_or
dist,VERcjg_dire
que,CONsub_que
grans,ADJqua_grant
onors,NOMcom_onor
