mere	NOMcom_mere
n	ADVneg_en
en	PROadv_en
aveies	VERcjg_avoir
merci	NOMcom_merci
Por	PRE_Por
tei	PROper_tu
veez	VERcjg_vöer|vöoir
desir	NOMcom_desir
a	PRE_a
morir	VERinf_morir
Ja	ADVgen_Ja
est	VERcjg_ester|estre
merveille	NOMcom_merveille
cum	CONsub_come
je	PROper_je
l	PROper_il
puis	VERcjg_pondre|pöoir
sofrir	VERinf_sofrir
Ohi	INJ_UNKNOWN
lasse	ADJqua_las
mere	NOMcom_mere
cum	CONsub_come
ai	VERcjg_aidier|avoir
forte	ADJqua_fort
aventure	NOMcom_aventure
Ci	ADVgen_Ci
vei	VERcjg_vöoir
morte	VERppe_morir
tote	DETind_tot
ma	DETpos_mon
porteüre	NOMcom_porteüre
Ma	DETpos_Ma
longe	ADJqua_lonc
atente	NOMcom_atente
m	PROper_je
est	VERcjg_ester|estre
a	PRE_a
grant	ADJqua_grant
duel	NOMcom_duel
venue	VERppe_venir
Que	CONsub_Que
porrai	VERcjg_pöoir
faire	VERinf_faire
dolente	ADJqua_dolent
creature	NOMcom_cröature
Ceo	PROdem_Ceo
est	VERcjg_ester|estre
merveille	NOMcom_merveille
que	CONsub_que
li	DETdef_le
mien	ADJpos_mien
cuer	NOMcom_cuer
tant	ADVgen_tant
dure	ADJqua_dur
Plurent	VERcjg_plorer
si	ADVgen_si
oil	NOMcom_oil|öil
e	CONcoo_et
si	ADVgen_si
jetet	VERcjg_jeter
granz	ADJqua_grant
criz	NOMcom_cri
Sempres	ADVgen_sempre
regretet	VERcjg_regretet
Mar	ADVgen_Mar
te	PROper_tu
portai	VERcjg_porter
bels	ADJqua_bel
filz	NOMcom_fil
E	CONcoo_avoir|estre
de	PRE_de
ta	DETpos_ton
medra	NOMcom_medra
quer	NOMcom_UNKNOWN
aveies	VERcjg_avoir
mercit	NOMcom_merci
Pur	PRE_Pur
que	PROrel_que
m	PROper_je
vedeies	VERcjg_voir
desirrer	VERinf_desirrer|desirrier
a	PRE_a
murir	VERinf_morir
Ço	PROdem_Ço
est	VERcjg_ester|estre
grant	ADJqua_grant
merveile	NOMcom_UNKNOWN
que	CONsub_que
pietet	NOMcom_pietet
ne	CONcoo_ni
t	NOMcom_tu
en	PROadv_en
prist	VERcjg_prendre|prisier
A	PRE_avoir
lasse	ADJqua_las
mezre	NOMcom_mezre
cum	CONsub_come
oi	VERcjg_avoir|öir
fort	ADJqua_fort
aventure	NOMcom_aventure
Or	ADVgen_Or
vei	VERcjg_vöoir
jo	PROper_je
morte	VERppe_morir
tute	DETind_tot
ma	DETpos_mon
porteüre	NOMcom_porteüre
Ma	DETpos_Ma
lunga	NOMcom_lunga
atente	NOMcom_atente
a	PRE_a
grant	ADJqua_grant
duel	NOMcom_duel
est	VERcjg_ester|estre
venude	NOMcom_venude
Pur	PRE_Pur
quei	PROint_coi
portai	VERcjg_porter
dolente	ADJqua_dolent
malfeüde	NOMcom_malfeüde
Ço	PROdem_Ço
est	VERcjg_ester|estre
granz	ADJqua_grant
meveile	NOMcom_meveile
qui	PROrel_qui
li	DETdef_le
mens	NOMcom_mien
quors	NOMcom_cuer
tant	ADVgen_tant
duret	VERcjg_durer
