Original,Normalised
car,CONcoo_car
la,DETdef_lö
ou,PROrel_o|oö
vos,PROper_ous
lairoiz,VERcjg_laissier
a,PRE_a
achever,VERinf_achever
les,DETdef_le
aventures,NOMcom_aventure
par,PRE_par
proesce,NOMcom_pröece
que,CONsub_que
diex,NOMcom_dieu
a,VERcjg_a
mise,VERppe_metre|mettre
en,PRE_en
chevalerie,NOMcom_chevalerie
quar,CONcoo_car
lesroiz,VERcjg_lesroiz
autres,PROind_autre
proece,NOMcom_pröece
dex,ADJcar_dieu
ait,VERcjg_aidier|avoir
chevalier,NOMcom_chevalier
lerroiz,VERcjg_lerroiz
mis,VERppe_manoir|metre|mettre
