Original,Normalised
A,PRE_a
lui,PROper_il|loi
meisme,ADJind_möisme
se,PROper_se
conseille,VERcjg_conseilier|conseiller|conseillier
Auquel,PRE.PROrel_Auquel
de,PRE_de
ii,ETR_je
il,PROper_il
aidera,VERcjg_aidier
Il,PROper_UNKNOWN
dist,VERcjg_dire
c,NOMcom_ce|que
au,PRE.DETdef_a+le|le
lion,NOMcom_löon
secourra,VERcjg_secorre
Car,CONcoo_Car
a,PRE_a
vrinmeus,ADJqua_vrinmeus
n,PROadv_en
a,VERcjg_avoir
felon,NOMcom_felon
Ne,ADVneg_naistre|nasquir
doit,VERcjg_devoir|dire
on,PROind_on
faire,VERinf_faire
se,CONsub_se
mal,ADJqua_mal
non,NOMcom_nom
li,PROper_le
meisme,ADJind_meisme|möisme
conselle,VERcjg_conseillier|consellier
Alquel,NOMpro_Alquel
des,PRE.DETdef_de+le|le
ii,NOMcom_i
Et,CONcoo_avoir
tendra,VERcjg_tenir
Qu,PROrel_Qu
a,VERcjg_a
venimeus,ADJqua_venimos
et,CONcoo_et
l,PROper_il
meismes,ADJind_möismes
De,PRE_UNKNOWN
la,DETdef_le
part,NOMcom_part
lyon,NOMcom_löon
sera,VERcjg_estre
nul,DETind_nul
mauves,NOMcom_mauvais
ne,CONcoo_ni
fere,VERinf_faire|ferir
soi,PROper_soi
Lors,ADVgen_Lors
dit,VERppe_dire
le,PROper_il
fera,VERcjg_faire
C,PROcar_C
en,PRE_en
al,PRE.DETdef_a+le|le
secolra,VERcjg_secolra
venimex,NOMcom_venimex
consele,NOMcom_consule
As,VERcjg_avoir
ques,PROrel.PROper_quel
dex,ADJcar_dieu
Dist,VERcjg_dire
que,CONsub_que
le,DETdef_le
secoura,VERcjg_secoura
as,VERcjg_a+le|le
as,PRE.DETdef_a+le|le
felons,NOMcom_felon
dit,VERcjg_dire
q,VERppe_que
leon,NOMcom_löon
secorra,VERcjg_secorre
Q,VERppe_q
deuz,NOMcom_deus
Lor,DETpos_Lor
enuious,VERppe_enoios
consoille,VERcjg_conseillier
d,PRE_de
aus,PROper_il
ii,VERinf_i
qu,NOMcom_que
tanra,VERcjg_tenir
an,PRE_en
feire,VERinf_faire|feire
