au	PRE.DETdef_a+le|le
lyon	NOMcom_löon
aidera	VERcjg_aidier
Qu'	CONcoo_Qu'
a	VERcjg_a
enuious	VERppe_enoios
et	CONcoo_et
a	PRE_a
felon	NOMcom_felon
Ne	ADVneg_naistre|nasquir
doit	VERcjg_devoir|dire
on	PROind_on
faire	VERinf_faire
se	CONsub_se
mal	ADJqua_mal
non	NOMcom_nom
A	PRE_a
lui	PROper_il|loi
meismes	ADJind_möismes
se	PROper_se
consoille	VERcjg_conseillier
Auquel	PRE.PROrel_Auquel
d'	PRE_de
aus	NOMcom_il
.ii	ETR_.ii
.	PONfrt_.
il	PROper_il
aidera	VERcjg_aidier
Lors	ADVgen_Lors
dit	VERppe_dire
qu'	CONsub_que
au	PRE.DETdef_a+le|le
lyon	NOMcom_löon
se	PROper_se
tanra	VERcjg_tenir
Qu'	CONsub_Qu'
a	PRE_a
venimeus	ADJqua_venimos
ne	CONcoo_ni
a	PRE_a
felon	NOMcom_felon
Ne	ADVneg_naistre|nasquir
doit	VERcjg_devoir|dire
an	PRE_en
feire	VERinf_faire|feire
se	CONsub_se
mal	ADJqua_mal
non	NOMcom_nom
